pose,pose_x,pose_y,label
1,-13.27588942,-0.974677315,1
0,5.418386029,11.38060902,0
0,10.66960471,2.755797355,0
0,10.31578721,-9.843511071,0
0,12.78840394,0.72568881,0
0,5.918132384,7.317412497,0
0,11.9371608,1.58009774,0
0,3.836072303,-2.336634365,0
0,12.27400377,2.226790768,0
0,3.065992248,11.68516185,0
0,-2.431334858,7.893674138,0
0,4.466958585,11.20757749,0
0,4.01445071,11.70080863,0
0,3.924313739,11.34179474,0
0,-0.299045775,7.558472591,0
0,4.906637711,10.10285337,0
0,25.87528164,-6.851524382,1
0,-1.544846597,7.926632969,0
0,2.089682451,8.274078742,0
1,-15.0,10.0,1
0,7.107301213,6.164167048,0
0,4.53034716,9.934040177,0
0,0.70388032,9.166022682,0
0,4.933246691,-6.83684494,0
0,0.468902988,6.358515082,0
0,0.889488792,10.3019065,0
0,-1.848800008,7.872178718,0
0,0.432937023,9.048554896,0
0,3.019034903,13.80167257,1
0,3.697711806,13.90570461,1
0,1.147625692,8.977242466,0
